ID_LONG,CONDITION_ID,TRIAL_NB,MAIN_SUPPORT,PRE_LIKES,POST_LIKES,AGE,FB_MODALITY,FB_OPTIMALITY,VALENCE,CONTEXT,PRE_FB_MODALITY,PRE_FB_OPTIMALITY,PRE_VALENCE,PRE_CONTEXT
2,10,40,94,20,0,35,Visual,Suboptimal,Positive,Individual,Tactile,Suboptimal,Negative,Individual
2,11,41,91,11,5,35,Visual,Optimal,Positive,Social,Visual,Optimal,Negative,Individual
2,11,42,91,13,25,35,Visual,Optimal,Positive,Social,Visual,Optimal,Negative,Individual
2,11,43,82,5,0,35,Visual,Optimal,Positive,Social,Visual,Suboptimal,Negative,Individual
2,11,44,75,5,16,35,Visual,Optimal,Positive,Social,Visual,Suboptimal,Negative,Individual
2,12,45,,12,9,35,Visual,Suboptimal,Positive,Social,Visual,Optimal,Negative,Individual
2,12,46,,30,8,35,Visual,Suboptimal,Positive,Social,Visual,Optimal,Negative,Individual
2,12,47,22,4,92,35,Visual,Suboptimal,Positive,Social,Visual,Suboptimal,Negative,Individual
2,12,48,46,19,3,35,Visual,Suboptimal,Positive,Social,Visual,Suboptimal,Negative,Individual
2,13,49,73,11,58,35,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
2,13,50,8,4,0,35,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
2,13,51,,37,48,35,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
2,13,52,9,27,0,35,Visual,Optimal,Negative,Individual,Tactile,Optimal,Negative,Social
2,14,53,18,5,3,35,Visual,Suboptimal,Negative,Individual,Tactile,Suboptimal,Negative,Social
2,14,54,42,81,12,35,Visual,Suboptimal,Negative,Individual,Tactile,Suboptimal,Negative,Social
2,14,55,15,10,10,35,Visual,Suboptimal,Negative,Individual,Tactile,Suboptimal,Negative,Social
2,14,56,15,57,12,35,Visual,Suboptimal,Negative,Individual,Tactile,Suboptimal,Negative,Social
2,15,57,3,24,19,35,Visual,Optimal,Negative,Social,Visual,Optimal,Negative,Social
2,15,58,3,4,18,35,Visual,Optimal,Negative,Social,Visual,Optimal,Negative,Social
2,15,59,19,11,4,35,Visual,Optimal,Negative,Social,Visual,Suboptimal,Negative,Social
2,15,60,70,15,18,35,Visual,Optimal,Negative,Social,Visual,Suboptimal,Negative,Social
2,16,61,,5,16,35,Visual,Suboptimal,Negative,Social,Visual,Optimal,Negative,Social
2,16,62,25,2,5,35,Visual,Suboptimal,Negative,Social,Visual,Optimal,Negative,Social
2,16,63,10,17,11,35,Visual,Suboptimal,Negative,Social,Visual,Suboptimal,Negative,Social
2,16,64,57,24,3,35,Visual,Suboptimal,Negative,Social,Visual,Suboptimal,Negative,Social
3,1,1,77,88,63,24,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
3,1,2,85,86,85,24,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
3,1,3,84,72,75,24,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
3,1,4,63,59,77,24,Tactile,Optimal,Positive,Individual,Tactile,Optimal,Positive,Individual
3,2,5,64,31,18,24,Tactile,Suboptimal,Positive,Individual,Tactile,Suboptimal,Positive,Individual
